FoodItemsListSorted by ID
ID,Name,Price
1,"Milk",3.75,
2,"Bread",4.79,
3,"Chocolates",10.99,
FoodItemsListSorted by Name
ID,Name,Price
2,"Bread",4.79,
3,"Chocolates",10.99,
1,"Milk",3.75,
FoodItemsListSorted by Price
ID,Name,Price
1,"Milk",3.75,
2,"Bread",4.79,
3,"Chocolates",10.99,
ElectronicItemsListSorted by ID
ID,Name,Price
1,"Mobile",20.99,
2,"Computer",899.0,
3,"Laptop",1258.86,
ElectronicItemsListSorted by Name
ID,Name,Price
2,"Computer",899.0,
3,"Laptop",1258.86,
1,"Mobile",20.99,
ElectronicItemsListSorted by Price
ID,Name,Price
1,"Mobile",20.99,
2,"Computer",899.0,
3,"Laptop",1258.86,
ServiceItemsListSorted by ID
ID,Name,Price
1,"Online",4.99,
2,"Delivery",19.88,
3,"Pickup",17.85,
ServiceItemsListSorted by Name
ID,Name,Price
2,"Delivery",19.88,
1,"Online",4.99,
3,"Pickup",17.85,
ServiceItemsListSorted by Price
ID,Name,Price
1,"Online",4.99,
3,"Pickup",17.85,
2,"Delivery",19.88,
